ym,Mkt_RF,SMB,HML,RMW,CMA,MOM,RF
201807,0.017369,-0.005982,0.029488,-0.010558,0.023994,-0.0199,0.003002
201808,-0.053599,-0.020826,0.024855,-0.001451,0.026075,0.0171,0.002402
201809,0.029420,-0.036619,0.018118,0.009214,0.022529,0.0207,0.002368
201810,-0.081456,-0.001822,0.053711,-0.008370,0.034852,0.0051,0.002386
201811,0.001306,0.060879,-0.048564,-0.028032,-0.010938,-0.0716,0.002526
201812,-0.044170,0.000394,0.006246,0.005060,0.008733,0.0181,0.002664
201901,0.036757,-0.059567,0.014479,0.029325,-0.013140,0.0429,0.002511
201902,0.144879,0.066549,-0.086386,-0.064317,-0.018259,-0.1280,0.002357
201903,0.056444,0.052708,-0.051098,-0.035873,-0.022451,-0.0236,0.002325
201904,-0.003953,-0.027991,0.008494,0.020512,-0.011144,-0.0090,0.002339
201905,-0.061327,0.020059,0.007226,-0.012013,0.020690,-0.0012,0.002423
201906,0.036086,-0.036733,-0.004064,0.020685,-0.011719,0.0290,0.002404
201907,-0.002273,-0.020538,-0.003596,0.025357,-0.025507,0.0075,0.002185
201908,-0.014980,-0.002864,-0.052116,0.016941,-0.039597,0.0330,0.002218
201909,0.005580,0.010329,0.004293,0.025287,-0.014208,-0.0035,0.002261
201910,0.012787,-0.013248,-0.006533,0.005713,-0.017040,0.0173,0.002304
201911,-0.017342,-0.011236,0.004100,0.007650,0.006789,0.0001,0.002490
201912,0.064410,0.013951,-0.015154,0.002351,-0.000073,0.0289,0.002524
202001,-0.015472,0.027520,-0.021181,0.016400,-0.022215,0.0361,0.002403
202002,-0.016310,0.018749,-0.023393,0.009520,-0.018353,0.0463,0.002178
202003,-0.056065,0.014029,0.010993,-0.019083,-0.001392,-0.0195,0.001796
202004,0.044295,-0.029100,-0.030369,0.040023,-0.047520,0.0562,0.001279
202005,-0.000782,0.022055,-0.018143,0.017553,-0.032590,0.0309,0.001172
202006,0.068545,0.005873,-0.049260,0.031030,-0.030830,0.0871,0.001589
202007,0.122853,0.004706,-0.034598,-0.009155,-0.003556,0.0948,0.001932
202008,0.022999,0.018391,-0.014684,0.005445,-0.004185,0.0069,0.002171
202009,-0.054220,-0.012818,0.014435,0.014472,0.000130,-0.0179,0.002231
202010,0.012064,-0.002037,-0.008504,0.024378,-0.011330,0.0253,0.002332
202011,0.044612,-0.025404,0.044238,-0.019697,0.014697,-0.0109,0.002524
202012,0.019263,-0.054322,-0.051139,0.042404,-0.043663,0.1078,0.002439
202101,-0.001005,-0.072921,-0.000645,0.045609,-0.022145,0.0676,0.002205
202102,0.004209,0.022951,0.037952,-0.012336,0.019697,-0.0386,0.002342
202103,-0.024514,0.048278,0.044636,-0.015255,0.031774,-0.0352,0.002261
202104,0.010463,-0.001963,-0.028353,0.004875,-0.000229,0.0420,0.002173
202105,0.048578,0.024235,-0.022303,-0.018966,0.009124,0.0101,0.002102
202106,0.004693,0.036165,-0.022933,-0.001958,0.016888,0.0122,0.002040
202107,-0.042985,0.035673,-0.022164,-0.037352,-0.003221,0.0706,0.002015
202108,0.035968,0.023372,0.062918,-0.038027,0.060576,0.0939,0.001969
202109,-0.000460,-0.030609,0.018266,0.026024,0.001673,-0.1312,0.001980
202110,-0.002068,-0.019378,-0.051150,0.012412,-0.036679,0.0044,0.002027
202111,0.016844,0.113492,-0.042396,0.011801,-0.026659,-0.0234,0.002055
202112,0.015528,0.019665,0.032503,-0.016621,0.023647,-0.0489,0.002079
202201,-0.082973,-0.002960,0.061580,-0.009334,0.018732,-0.0483,0.002070
202202,0.026712,0.023891,0.004605,-0.016767,0.028258,0.0422,0.002015
202203,-0.063251,0.038116,0.073678,-0.033666,0.027336,-0.0106,0.001971
202204,-0.074853,-0.098558,0.035388,0.035247,-0.006733,-0.0320,0.001935
202205,0.049261,0.065981,-0.037424,-0.018328,0.019773,0.0142,0.001758
202206,0.078333,-0.022926,-0.063454,0.018255,-0.048668,-0.0312,0.001667
202207,-0.031545,0.077022,0.000678,-0.020791,0.023281,0.0171,0.001620
202208,-0.016579,-0.015098,0.027140,-0.014585,0.018007,-0.0060,0.001366
202209,-0.060740,-0.029058,0.031879,0.008036,0.008941,0.0129,0.001342
202210,-0.037221,0.082632,-0.025236,-0.032432,0.018591,-0.0209,0.001413
202211,0.085582,-0.013161,0.034368,-0.004432,0.022249,-0.0501,0.001676
202212,-0.019740,-0.023956,-0.024047,-0.003432,-0.024062,-0.0324,0.001931
202301,0.062091,0.016211,-0.030484,0.030620,-0.028920,-0.0358,0.001973
202302,0.003186,0.033446,0.016994,-0.002927,0.019781,-0.0160,0.001986
202303,0.000229,-0.015492,0.005868,-0.010613,0.012193,0.0101,0.002066
202304,0.008328,-0.037668,0.076253,-0.013689,0.039005,0.0422,0.002021
202305,-0.033950,0.051122,0.013776,-0.000713,-0.000050,0.0235,0.001928
202306,0.011456,0.017475,-0.014652,0.015306,-0.008374,0.0070,0.001794
202307,0.033935,-0.030711,0.022271,-0.040890,0.026109,-0.0426,0.001764
202308,-0.050491,0.013676,0.002297,-0.002341,0.006004,0.0228,0.001708
202309,-0.005263,0.011147,0.017426,-0.013359,-0.000025,0.0033,0.001807
202310,-0.026358,0.028738,-0.011323,-0.016097,0.000246,-0.0151,0.001945
202311,0.000160,0.052494,-0.003118,-0.005626,0.019315,0.0187,0.002044
202312,-0.016492,-0.003337,0.005174,0.012290,-0.012917,0.0086,0.002068
202401,-0.079799,-0.131744,0.105567,-0.052982,0.005702,0.0564,0.002068
202402,0.082667,-0.063953,-0.041013,0.058698,-0.025541,-0.0027,0.002068
202403,0.014571,0.059489,-0.003508,0.015967,0.001033,0.0182,0.002068
202404,0.015937,-0.049316,0.032657,0.024917,-0.037726,0.0232,0.002068
202405,-0.008790,-0.008501,0.031438,0.011338,-0.024567,0.0011,0.002068
202406,-0.030251,-0.059125,0.047550,-0.006956,-0.021447,0.0669,0.002068
202407,0.000020,0.006272,0.008870,-0.055416,0.024334,-0.0269,0.002068
202408,-0.029390,-0.000602,0.000792,-0.006989,0.000749,0.0571,0.002068
202409,0.186134,0.045197,-0.065310,-0.008232,0.036957,-0.1073,0.002068
202410,-0.004248,0.107536,-0.039924,-0.078132,0.046632,-0.0408,0.002068
202411,0.011557,0.050974,-0.002578,-0.005349,0.003084,-0.0393,0.002068
202412,0.004121,-0.063245,0.039163,0.004758,-0.036923,0.0368,0.002068
202501,-0.026900,0.015405,-0.003349,0.010442,-0.023691,0.0224,0.002068
202502,0.027407,0.069297,-0.043840,-0.008227,0.013368,-0.0076,0.002068
202503,0.001034,-0.008396,0.013214,0.014398,-0.021440,-0.0243,0.002068
202504,-0.023263,0.002502,0.017344,-0.025546,0.002329,0.0033,0.002068
202505,0.024340,0.039760,0.004672,-0.025806,0.013404,-0.0031,0.002068
202506,0.038681,0.034592,-0.005767,-0.027562,-0.003459,0.0433,0.002068
